Taxa;FFG
Gammaridae;Shredder
Protonemura;Shredder
Nemoura;Shredder
Amphinemura;Shredder
Leuctridae;Shredder
Haliplidae;Shredder
Tipulidae;Shredder
Limonidae;Shredder
Sericostomatidae;Shredder
Odontoceridae;Shredder
Limnephilidae;Shredder
Lepidostomatidae;Shredder
Helodidae;Shredder
Tabanidae;Shredder
Polycelis;Predator
Dugesia;Predator
Hydrachnellae;Predator
Perlidae;Predator
Chloroperlidae;Predator
Perlodidae;Predator
Gomphidae;Predator
Gerridae;Predator
Gyrinidae;Predator
Dytiscidae;Predator
Hydraenidae;Predator
Ceratopogonidae;Predator
Empididae;Predator
Athericidae;Predator
Dolichopodidae;Predator
Rhyacophilidae;Predator
Polycentropus;Predator
Oligochaeta;Collector-Gatherer
Heptageniidae;Collector-Gatherer
Caenidae;Collector-Gatherer
Leptophlebidae;Collector-Gatherer
Ephemerellidae;Collector-Gatherer
Dixidae;Collector-Gatherer
Psychodidae;Collector-Gatherer
Chironomidae;Collector-Gatherer
Stratyomidae;Collector-Gatherer
Brachycentridae;Collector-Gatherer
Leptoceridae;Collector-Gatherer
Baetidae;Collector-Gatherer-Scraper
Elmidae;Collector-Gatherer-Scraper
Spharidae;Collector-Filterer
Simuliidae;Collector-Filterer
Hydropsychidae;Collector-Filterer
Philopotamidae;Collector-Filterer
Glossiphoniidae;Scraper
Hydrobiidae;Scraper
Bythinidae;Scraper
Lymnaeidae;Scraper
Ancylidae;Scraper
Blephariceridae;Scraper
Glossosomatidae;Scraper
Hydroptilidae;Scraper
Psychomyidae;Scraper
Goeridae;Scraper
